# BLASTP 2.14.0+
# Query: 4CRP_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
4CRP_A	XP_033229347.1	34.000	100	64	1	8	107	2775	2872	4.07e-05	53.1
# BLASTP 2.14.0+
# Query: 4JJC_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
4JJC_A	KAJ3175743.1	40.385	52	30	1	4	55	9	59	0.004	45.1
# BLASTP 2.14.0+
# Query: 4J9F_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
4J9F_A	TGZ63904.1	36.923	65	36	2	1	60	593	657	0.009	44.3
# BLASTP 2.14.0+
# Query: 1ZH8_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1ZH8_A	WP_090222821.1	28.144	334	220	7	3	319	3	333	5.11e-35	140
# BLASTP 2.14.0+
# Query: 3EG1_B
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
3EG1_B	4J9B_A	30.189	53	37	0	3	55	8	60	4.20e-04	44.7
# BLASTP 2.14.0+
# Query: 1KKL_I
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1KKL_I	MBQ9168359.1	40.000	80	48	0	4	83	5	84	3.23e-10	62.0
# BLASTP 2.14.0+
# Query: 2EGE_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
2EGE_A	XP_001750438.1	38.776	49	30	0	25	73	55	103	0.50	39.7
# BLASTP 2.14.0+
# Query: 5AWW_G
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
5AWW_G	RYO87414.1	29.545	44	31	0	2	45	294	337	5.9	37.0
# BLASTP 2.14.0+
# Query: 6CWY_D
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
6CWY_D	XP_055844029.1	22.780	518	345	8	5	471	9	522	2.65e-43	174
# BLASTP 2.14.0+
# Query: 6KBR_C
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
6KBR_C	XP_025780864.1	40.741	54	30	1	1	52	35	88	1.40e-06	51.6
# BLASTP 2.14.0+
# Query: 6A5I_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
6A5I_A	WP_025664180.1	45.238	42	21	1	20	61	765	804	2.6	37.4
# BLASTP 2.14.0+
# Query: 1JU5_C
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1JU5_C	MBO5773275.1	36.364	55	33	2	3	55	1101	1155	9.5	35.4
# BLASTP 2.14.0+
# Query: 3VPZ_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
3VPZ_A	WP_128730162.1	26.814	317	230	1	1	317	11	325	6.29e-47	172
# BLASTP 2.14.0+
# Query: 4XL5_C
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 4 hits found
4XL5_C	4ZV6_A	40.092	217	130	0	16	232	61	277	2.19e-38	146
4XL5_C	4ZV6_A	41.206	199	117	0	16	214	30	228	1.84e-33	133
4XL5_C	4ZV6_A	41.304	184	108	0	31	214	14	197	1.66e-30	125
4XL5_C	4ZV6_A	37.989	179	111	0	5	183	81	259	1.73e-25	112
# BLASTP 2.14.0+
# Query: 6AEX_U
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
6AEX_U	XP_021075217.1	33.149	181	102	4	3	164	123	303	1.65e-22	102
# BLASTP 2.14.0+
# Query: 2GBQ_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
2GBQ_A	CBX28706.1	48.485	33	17	0	11	43	365	397	6.1	35.8
# BLASTP 2.14.0+
# Query: 3N29_B
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
3N29_B	MBR5894970.1	24.103	390	259	9	5	359	3	390	1.45e-29	129
# BLASTP 2.14.0+
# Query: 1KKL_J
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1KKL_J	MCI8879991.1	35.294	85	55	0	2	86	2	86	5.94e-13	69.3
# BLASTP 2.14.0+
# Query: 5LV6_B
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
5LV6_B	MBW4623047.1	54.167	24	11	0	8	31	644	667	4.4	35.4
# BLASTP 2.14.0+
# Query: 5GAE_g
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
5GAE_g	YP_009296916.1	20.321	374	246	13	29	374	34	383	3.57e-07	65.1
# BLASTP 2.14.0+
# Query: 3E18_B
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
3E18_B	WP_013487105.1	25.301	332	230	2	2	315	5	336	1.24e-31	132
# BLASTP 2.14.0+
# Query: 5USD_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
5USD_A	WP_271226507.1	31.902	326	213	6	3	322	3	325	1.16e-55	194
# BLASTP 2.14.0+
# Query: 5IEJ_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
5IEJ_A	TSD90531.1	24.444	90	68	0	29	118	31	120	0.001	47.4
# BLASTP 2.14.0+
# Query: 6FIC_T
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
6FIC_T	GBN10672.1	28.959	221	157	0	23	243	125	345	5.53e-29	124
6FIC_T	GBN10672.1	26.119	134	87	3	20	148	245	371	0.001	52.0
6FIC_T	GBN10672.1	25.806	93	68	1	129	221	109	200	0.11	46.2
# BLASTP 2.14.0+
# Query: 3T5M_B
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
3T5M_B	WP_239416342.1	32.000	325	221	0	5	329	5	329	2.34e-58	202
# BLASTP 2.14.0+
# Query: 1GBR_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1GBR_A	MCE7887487.1	52.381	21	10	0	36	56	167	187	9.4	36.2
# BLASTP 2.14.0+
# Query: 1ZH8_B
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1ZH8_B	WP_011011672.1	27.052	329	222	9	2	318	3	325	1.92e-28	123
# BLASTP 2.14.0+
# Query: 2JQ8_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
2JQ8_A	KAI8959149.1	36.842	38	24	0	9	46	757	794	7.1	35.0
# BLASTP 2.14.0+
# Query: 3EG3_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
3EG3_A	WP_245036242.1	29.508	61	42	1	2	62	17	76	0.36	38.5
# BLASTP 2.14.0+
# Query: 3U1B_B
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
3U1B_B	WP_042019173.1	33.435	329	218	1	3	330	5	333	1.10e-51	184
# BLASTP 2.14.0+
# Query: 1WWW_X
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1WWW_X	CAH2274285.1	32.653	98	63	2	4	101	297	391	2.05e-04	50.4
# BLASTP 2.14.0+
# Query: 2EC9_U
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
2EC9_U	MCD8226695.1	27.193	114	77	1	1	114	245	352	4.1	38.9
# BLASTP 2.14.0+
# Query: 3EG0_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
3EG0_A	KAJ3320323.1	35.714	56	35	1	2	56	43	98	0.30	38.1
# BLASTP 2.14.0+
# Query: 1AWO_A
# Database: blastdb/nr
# 0 hits found
# BLASTP 2.14.0+
# Query: 1ABO_A
# Database: blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1ABO_A	5NP3_A	29.091	55	39	0	3	57	7	61	4.96e-04	44.7
# BLASTP 2.14.0+
# Query: 4JVO_A
# Database: blastdb/nr
